...1,Soundfile,Dataset,LowFreqHz,HighFreqHz,FileEndSec,UTC,FileBeginSec,ClassSpecies,KW,KW_certain,Ecotype,Provider,AnnotationLevel,FilePath,FileOk,CallType,ID,CenterTime,Duration,CalltypeCategory,HasQ,CalltypeHasQ,EcotypeCertain,Labels,HoldOut,Augmented,ShiftSec,SourceID,AugFromCT
52981,DFOCRP.H50bjRcb-WCV1.AURAL117LF.20110919_023000Z.flac,WVanIsl,1696,1920,147.624,2011-09-19T02:32:27Z,147.374,AB,0,NA,NA,DFO_CRP,Call,E:/DCLDE/DFO_CRP/Audio/WVanIsl/DFOCRP.H50bjRcb-WCV1.AURAL117LF.20110919_023000Z.flac,TRUE,,59068,147.499,0.25,None,FALSE,FALSE,FALSE,Background,DCLDE_Train,FALSE,0,59068,NA
51621,DFOCRP.H50bjRcb-WCV1.AURAL117LF.20110827_160000Z.flac,WVanIsl,3808,4256,248.952,2011-08-27T16:04:08Z,248.655,UndBio,0,NA,NA,DFO_CRP,Call,E:/DCLDE/DFO_CRP/Audio/WVanIsl/DFOCRP.H50bjRcb-WCV1.AURAL117LF.20110827_160000Z.flac,TRUE,,58068,248.8035,0.29699999999999704,None,FALSE,FALSE,FALSE,Background,DCLDE_Train,FALSE,0,58068,NA
48604,DFOCRP.H50bjRcb-WCV1.AURAL117LF.20110724_101500Z.flac,WVanIsl,800,960,1.702,2011-07-24T10:15:00Z,0.999,AB,0,NA,NA,DFO_CRP,Call,E:/DCLDE/DFO_CRP/Audio/WVanIsl/DFOCRP.H50bjRcb-WCV1.AURAL117LF.20110724_101500Z.flac,TRUE,,56749,1.3505,0.703,None,FALSE,FALSE,FALSE,Background,DCLDE_Train,FALSE,0,56749,NA
21553,DFOCRP.KkHK0R2F-NML1.SM2M-3.20131129_140600Z.flac,NorthBc,3937.5,4343.75,34.303,2013-11-29T14:06:34Z,34.015,UndBio,0,NA,NA,DFO_CRP,Call,E:/DCLDE/DFO_CRP/Audio/NorthBc/DFOCRP.KkHK0R2F-NML1.SM2M-3.20131129_140600Z.flac,TRUE,,38660,34.159,0.2879999999999967,None,FALSE,FALSE,FALSE,Background,DCLDE_Train,FALSE,0,38660,NA
39836,DFOCRP.KkHK0R2F-NML1.SM2M-3.20140102_140600Z.flac,NorthBc,3031.25,3281.25,197.599,2014-01-02T14:09:17Z,197.343,UndBio,0,NA,NA,DFO_CRP,Call,E:/DCLDE/DFO_CRP/Audio/NorthBc/DFOCRP.KkHK0R2F-NML1.SM2M-3.20140102_140600Z.flac,TRUE,,52470,197.471,0.2560000000000002,None,FALSE,FALSE,FALSE,Background,DCLDE_Train,FALSE,0,52470,NA
53323,DFOCRP.H50bjRcb-WCV1.AURAL117LF.20110924_001500Z.flac,WVanIsl,1920,2144,131.578,2011-09-24T00:17:11Z,131.156,AB,0,NA,NA,DFO_CRP,Call,E:/DCLDE/DFO_CRP/Audio/WVanIsl/DFOCRP.H50bjRcb-WCV1.AURAL117LF.20110924_001500Z.flac,TRUE,,59162,131.367,0.42199999999999704,None,FALSE,FALSE,FALSE,Background,DCLDE_Train,FALSE,0,59162,NA
20818,DFOCRP.KkHK0R2F-NML1.SM2M-3.20131129_123600Z.flac,NorthBc,3000,3281.25,231.359,2013-11-29T12:39:50Z,230.767,UndBio,0,NA,NA,DFO_CRP,Call,E:/DCLDE/DFO_CRP/Audio/NorthBc/DFOCRP.KkHK0R2F-NML1.SM2M-3.20131129_123600Z.flac,TRUE,,38073,231.063,0.592000000000013,None,FALSE,FALSE,FALSE,Background,DCLDE_Train,FALSE,0,38073,NA
32612,DFOCRP.KkHK0R2F-NML1.SM2M-3.20131207_102100Z.flac,NorthBc,4000,4250,257.456,2013-12-07T10:25:17Z,257.184,UndBio,0,NA,NA,DFO_CRP,Call,E:/DCLDE/DFO_CRP/Audio/NorthBc/DFOCRP.KkHK0R2F-NML1.SM2M-3.20131207_102100Z.flac,TRUE,,47436,257.32,0.27199999999999136,None,FALSE,FALSE,FALSE,Background,DCLDE_Train,FALSE,0,47436,NA
54195,DFOCRP.H50bjRcb-WCV1.AURAL117LF.20111002_090000Z.flac,WVanIsl,5824,6400,112.983,2011-10-02T09:01:52Z,112.624,UndBio,0,NA,NA,DFO_CRP,Call,E:/DCLDE/DFO_CRP/Audio/WVanIsl/DFOCRP.H50bjRcb-WCV1.AURAL117LF.20111002_090000Z.flac,TRUE,,59924,112.8035,0.35900000000000887,None,FALSE,FALSE,FALSE,Background,DCLDE_Train,FALSE,0,59924,NA
40282,DFOCRP.KkHK0R2F-NML1.SM2M-3.20140103_043600Z.flac,NorthBc,4406.25,4718.75,292.703,2014-01-03T04:40:52Z,292.351,UndBio,0,NA,NA,DFO_CRP,Call,E:/DCLDE/DFO_CRP/Audio/NorthBc/DFOCRP.KkHK0R2F-NML1.SM2M-3.20140103_043600Z.flac,TRUE,,52850,292.527,0.35199999999997544,None,FALSE,FALSE,FALSE,Background,DCLDE_Train,FALSE,0,52850,NA
20473,DFOCRP.KkHK0R2F-NML1.SM2M-3.20131129_105100Z.flac,NorthBc,4906.25,5281.25,266.303,2013-11-29T10:55:25Z,265.359,UndBio,0,NA,NA,DFO_CRP,Call,E:/DCLDE/DFO_CRP/Audio/NorthBc/DFOCRP.KkHK0R2F-NML1.SM2M-3.20131129_105100Z.flac,TRUE,,37767,265.831,0.9440000000000168,None,FALSE,FALSE,FALSE,Background,DCLDE_Train,FALSE,0,37767,NA
34025,DFOCRP.KkHK0R2F-NML1.SM2M-3.20131208_112100Z.flac,NorthBc,5468.75,5937.5,200.351,2013-12-08T11:24:20Z,200.031,UndBio,0,NA,NA,DFO_CRP,Call,E:/DCLDE/DFO_CRP/Audio/NorthBc/DFOCRP.KkHK0R2F-NML1.SM2M-3.20131208_112100Z.flac,TRUE,,48373,200.191,0.3199999999999932,None,FALSE,FALSE,FALSE,Background,DCLDE_Train,FALSE,0,48373,NA
32994,DFOCRP.KkHK0R2F-NML1.SM2M-3.20131207_125100Z.flac,NorthBc,3812.5,4187.5,206.335,2013-12-07T12:54:26Z,206.031,UndBio,0,NA,NA,DFO_CRP,Call,E:/DCLDE/DFO_CRP/Audio/NorthBc/DFOCRP.KkHK0R2F-NML1.SM2M-3.20131207_125100Z.flac,TRUE,,47564,206.183,0.30400000000000205,None,FALSE,FALSE,FALSE,Background,DCLDE_Train,FALSE,0,47564,NA
9923,DFOCRP.KkHK0R2F-NML1.SM2M-3.20131112_125100Z.flac,NorthBc,4968.75,5218.75,8.032,2013-11-12T12:51:07Z,7.647,UndBio,0,NA,NA,DFO_CRP,Call,E:/DCLDE/DFO_CRP/Audio/NorthBc/DFOCRP.KkHK0R2F-NML1.SM2M-3.20131112_125100Z.flac,TRUE,,30757,7.8395,0.3849999999999998,None,FALSE,FALSE,FALSE,Background,DCLDE_Train,FALSE,0,30757,NA
53405,DFOCRP.H50bjRcb-WCV1.AURAL117LF.20110925_090000Z.flac,WVanIsl,7744,8128,135.671,2011-09-25T09:02:14Z,134.906,UndBio,0,NA,NA,DFO_CRP,Call,E:/DCLDE/DFO_CRP/Audio/WVanIsl/DFOCRP.H50bjRcb-WCV1.AURAL117LF.20110925_090000Z.flac,TRUE,,59240,135.2885,0.7649999999999864,None,FALSE,FALSE,FALSE,Background,DCLDE_Train,FALSE,0,59240,NA
43459,DFOCRP.KkHK0R2F-NML1.SM2M-3.20140119_202100Z.flac,NorthBc,1687.5,2156.25,214.943,2014-01-19T20:24:34Z,214.607,AB,0,NA,NA,DFO_CRP,Call,E:/DCLDE/DFO_CRP/Audio/NorthBc/DFOCRP.KkHK0R2F-NML1.SM2M-3.20140119_202100Z.flac,TRUE,,54669,214.775,0.33600000000001273,None,FALSE,FALSE,FALSE,Background,DCLDE_Train,FALSE,0,54669,NA
43599,DFOCRP.KkHK0R2F-NML1.SM2M-3.20140120_053600Z.flac,NorthBc,2468.75,2687.5,166.287,2014-01-20T05:38:44Z,164.896,AB,0,NA,NA,DFO_CRP,Call,E:/DCLDE/DFO_CRP/Audio/NorthBc/DFOCRP.KkHK0R2F-NML1.SM2M-3.20140120_053600Z.flac,TRUE,,54692,165.5915,1.3910000000000196,None,FALSE,FALSE,FALSE,Background,DCLDE_Train,FALSE,0,54692,NA
31477,DFOCRP.KkHK0R2F-NML1.SM2M-3.20131205_112100Z.flac,NorthBc,4062.5,4625,76.303,2013-12-05T11:22:16Z,76.015,UndBio,0,NA,NA,DFO_CRP,Call,E:/DCLDE/DFO_CRP/Audio/NorthBc/DFOCRP.KkHK0R2F-NML1.SM2M-3.20131205_112100Z.flac,TRUE,,46646,76.159,0.2879999999999967,None,FALSE,FALSE,FALSE,Background,DCLDE_Train,FALSE,0,46646,NA
38196,DFOCRP.KkHK0R2F-NML1.SM2M-3.20131221_060600Z.flac,NorthBc,1218.75,1625,167.999,2013-12-21T06:08:47Z,167.615,AB,0,NA,NA,DFO_CRP,Call,E:/DCLDE/DFO_CRP/Audio/NorthBc/DFOCRP.KkHK0R2F-NML1.SM2M-3.20131221_060600Z.flac,TRUE,,51484,167.807,0.38399999999998613,None,FALSE,FALSE,FALSE,Background,DCLDE_Train,FALSE,0,51484,NA
43816,DFOCRP.KkHK0R2F-NML1.SM2M-3.20140125_043930Z.flac,NorthBc,6937.5,7125,0.991,2014-01-25T04:39:30Z,0.719,AB,0,NA,NA,DFO_CRP,Call,E:/DCLDE/DFO_CRP/Audio/NorthBc/DFOCRP.KkHK0R2F-NML1.SM2M-3.20140125_043930Z.flac,TRUE,,54845,0.855,0.272,None,FALSE,FALSE,FALSE,Background,DCLDE_Train,FALSE,0,54845,NA
58926,DFOCRP.H50bjRcb-WCV1.AURAL117LF.20111101_163000Z.flac,WVanIsl,2976,3360,107.483,2011-11-01T16:31:47Z,107.186,AB,0,NA,NA,DFO_CRP,Call,E:/DCLDE/DFO_CRP/Audio/WVanIsl/DFOCRP.H50bjRcb-WCV1.AURAL117LF.20111101_163000Z.flac,TRUE,,62916,107.3345,0.29699999999999704,None,FALSE,FALSE,FALSE,Background,DCLDE_Train,FALSE,0,62916,NA
54908,DFOCRP.H50bjRcb-WCV1.AURAL117LF.20111010_103000Z.flac,WVanIsl,4832,5088,17.984,2011-10-10T10:30:17Z,17.42,UndBio,0,NA,NA,DFO_CRP,Call,E:/DCLDE/DFO_CRP/Audio/WVanIsl/DFOCRP.H50bjRcb-WCV1.AURAL117LF.20111010_103000Z.flac,TRUE,,60319,17.702,0.5640000000000001,None,FALSE,FALSE,FALSE,Background,DCLDE_Train,FALSE,0,60319,NA
145201,DFOCRP.H50bjRcb-WCV1.AURAL117LF.20120201_204500Z.flac,WVanIsl,896,1056,121.358,2012-02-01T20:47:01Z,121.077,AB,0,NA,NA,DFO_CRP,Call,E:/DCLDE/DFO_CRP/Audio/WVanIsl/DFOCRP.H50bjRcb-WCV1.AURAL117LF.20120201_204500Z.flac,TRUE,,130331,121.2175,0.2810000000000059,None,FALSE,FALSE,FALSE,Background,DCLDE_Train,FALSE,0,130331,NA
